product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_include_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-30,2,1,1,1,0
Geo,India,ACCENTURE PLC,APAC,2025-04-21,12,1,11,0,11
REWS,Spain,CBRE GROUP INC,EMEA,2025-05-01,3,3,0,0,0
Waymo,United States,"TASKUS, INC.",NORTH AMERICA,2025-04-21,4,3,1,0,1
POps,India,ACCENTURE PLC,APAC,2025-04-21,5,2,3,1,2
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-23,2,2,0,0,0
Corp Eng,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-27,5,1,4,0,4
T&S,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,0,1
gCS,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,1,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-22,2,3,1,1,0
gTech,Philippines,ACCENTURE PLC,APAC,2025-04-30,4,5,1,1,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,6,7,1,0,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-22,10,3,7,4,3
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-27,3,2,1,1,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,7,5,4,3,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-28,8,1,7,1,6
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-23,9,5,6,6,0
gTech,China,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,3,3,2,2,0
T&S,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-24,3,2,1,0,1
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-21,9,3,6,6,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-25,2,2,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-28,12,4,10,5,5
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-30,2,2,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-22,10,3,7,7,0
REWS,Brazil,JONES LANG LASALLE INC,LATAM,2025-04-30,5,6,1,1,0
gCS,Spain,TELEPERFORMANCE SE,EMEA,2025-04-23,6,2,4,3,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-28,5,4,1,0,1
REWS,Australia,CHALLENGER SECURITY PTY LTD,APAC,2025-04-21,7,6,3,3,0
gTech,India,GENPACT LIMITED,APAC,2025-04-23,3,4,1,1,0
Technical Infrastructure,United States,MCFARLAND BUILDING GROUP LLC,NORTH AMERICA,2025-04-29,1,1,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,4,4,0,4
REWS,France,CBRE GROUP INC,EMEA,2025-04-22,5,7,0,0,0
REWS,India,SODEXO,APAC,2025-04-22,1,1,0,0,0
Technical Infrastructure,Australia,MSS SECURITY PTY LTD,APAC,2025-04-22,5,1,4,0,4
Access,United States,IBEX HOLDINGS LIMITED,NORTH AMERICA,2025-04-22,3,1,2,0,2
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-28,8,5,5,2,3
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,5,2,3,3,0
Core (w/o Corp Eng),United States,BRILLIANT MUSE LLC,NORTH AMERICA,2025-04-22,3,4,1,1,0
Marketing,France,ADECCO FRANCE S.A.S.,EMEA,2025-04-24,26,6,23,15,8
REWS,Switzerland,CBRE GROUP INC,EMEA,2025-04-25,9,1,8,0,8
Technical Infrastructure,United States,"EPC PROJECT MANAGEMENT CONSULTING, LLC",NORTH AMERICA,2025-04-29,4,5,1,0,1
YouTube,Malaysia,ACCENTURE PLC,APAC,2025-04-21,4,3,1,1,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
gTech,Poland,MAJOREL GLOBAL,EMEA,2025-04-23,5,5,2,2,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,1,1,0,0,0
Platforms + Ecosystems,India,MARKETSTAR CORPORATION,APAC,2025-04-24,1,1,0,0,0
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-25,3,1,2,0,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,3,3,0,0,0
Access,United States,"PROJECT RESOURCES GROUP, INC.",NORTH AMERICA,2025-04-24,3,3,0,0,0
Technical Infrastructure,null,EVERGREEN JANITORIAL SERVICES INC,NORTH AMERICA,2025-04-22,3,5,0,0,0
DeepMind,United States,SCALE AI INC,NORTH AMERICA,2025-04-21,16,5,13,0,13
REWS,Belgium,CBRE GROUP INC,EMEA,2025-04-29,20,14,10,7,3
gTech,Philippines,CONCENTRIX,APAC,2025-04-25,4,2,2,0,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-25,6,4,4,0,4
gTech,India,CONCENTRIX,APAC,2025-05-02,7,5,4,3,1
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-27,3,1,2,2,0
Global Affairs (w/o T&S),India,ACCENTURE PLC,APAC,2025-04-29,5,2,3,1,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,16,4,14,4,10
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-25,3,2,1,0,1
GBO (w/o gTech & gCS),United Kingdom,MORGAN MCKINLEY LTD,EMEA,2025-05-02,13,17,9,0,9
POps,India,RANDSTAD NV,APAC,2025-05-02,7,1,6,3,3
Ads & Commerce,Philippines,ACCENTURE PLC,APAC,2025-04-22,8,1,7,7,0
YouTube,India,CONCENTRIX,APAC,2025-04-21,2,1,1,0,1
Cloud,India,EPAM SYSTEMS INC,APAC,2025-04-30,2,3,1,1,0
gTech,Brazil,CONCENTRIX,LATAM,2025-04-25,4,3,1,1,0
Corp Eng,United States,ONE DIVERSIFIED LLC,NORTH AMERICA,2025-04-30,5,1,4,0,4
Waymo,United States,MAGIC MIGHT INC,NORTH AMERICA,2025-04-22,10,3,7,0,7
gCS,India,ACCENTURE PLC,APAC,2025-04-21,11,3,10,2,8
Platforms + Ecosystems,United States,MAGIC LEAP INC.,NORTH AMERICA,2025-05-01,10,4,8,0,8
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
T&S,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-29,5,2,3,1,2
Cloud,India,HCL TECHNOLOGIES LTD,APAC,2025-05-02,3,3,0,0,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,4,1,3,1,2
REWS,Singapore,SECURITY AND RISK SOLUTIONS PTE LTD,APAC,2025-04-27,5,1,4,4,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-28,7,4,5,1,4
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,3,4,0,4
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-04-30,2,2,0,0,0
REWS,United States,ARAMARK HOLDINGS CORPORATION,NORTH AMERICA,2025-04-25,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-24,2,2,0,0,0
REWS,Canada,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-25,2,2,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-27,4,1,3,0,3
Ads & Commerce,India,VIRTUSA CORPORATION,APAC,2025-04-24,11,2,9,9,0
POps,India,ACCENTURE PLC,APAC,2025-05-02,6,4,4,4,0
Platforms + Ecosystems,United States,"TRIPLE CROWN CONSULTING, LLC",NORTH AMERICA,2025-04-22,2,4,0,0,0
Cloud,United States,INFOSYS,NORTH AMERICA,2025-04-21,3,5,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-25,11,4,9,0,9
YouTube,India,ACCENTURE PLC,APAC,2025-04-27,8,5,5,2,3
Technical Infrastructure,null,SCHENKER,NORTH AMERICA,2025-04-24,3,3,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,3,4,1,3
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-04-21,3,5,0,0,0
REWS,India,G4S PLC,APAC,2025-04-24,1,1,0,0,0
Technical Infrastructure,United States,M A MORTENSON COMPANY,NORTH AMERICA,2025-04-25,7,5,4,2,2
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,4,1,3,2,1
REWS,Israel,YARZIN SELLA MANAGEMENT AND HOLDINGS,EMEA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,ANCHORBUOY LIMITED,NORTH AMERICA,2025-04-30,2,2,0,0,0
YouTube,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,1,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,3,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,1,4,0,4
Access,United States,DELOITTE,NORTH AMERICA,2025-04-22,5,6,1,0,1
Google.org,United States,"TECHNOLOGY RESOURCE SOLUTIONS, INC. D/B/A SYNERGIS (VENDOR)",NORTH AMERICA,2025-04-30,6,3,3,1,2
REWS,Japan,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
gCS,Philippines,CONCENTRIX,APAC,2025-04-30,2,2,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-29,5,3,2,1,1
YouTube,India,ACCENTURE PLC,APAC,2025-04-24,8,4,4,1,3
DeepMind,United States,SCALE AI INC,NORTH AMERICA,2025-04-21,16,5,13,4,9
Waymo,United States,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2025-04-21,7,5,4,4,0
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-23,4,5,1,0,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-29,5,3,2,1,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,2,4,0,0,0
Technical Infrastructure,United States,THE WHITING TURNER CONTRACTING COMPANY,NORTH AMERICA,2025-04-22,3,5,0,0,0
Cloud,El Salvador,CONCENTRIX,LATAM,2025-04-25,3,3,0,0,0
Cloud,El Salvador,CONCENTRIX,LATAM,2025-04-25,7,5,4,3,1
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-24,3,1,2,1,1
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,1,3,0,0,0
Cloud,United States,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NORTH AMERICA,2025-04-22,3,1,2,1,1
T&S,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-22,6,1,5,4,1
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-25,2,2,0,0,0
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-04-21,3,5,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,3,3,0,0,0
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,5,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
POps,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-28,3,2,1,0,1
Cloud,Mexico,TATA GROUP,LATAM,2025-04-29,10,3,7,5,2
Devices & Services,United States,MOSAIC US HOLDINGS INC,NORTH AMERICA,2025-04-25,4,1,3,0,3
REWS,null,SODEXO,NORTH AMERICA,2025-04-28,3,5,0,0,0
Cloud,United States,TATA GROUP,NORTH AMERICA,2025-05-01,5,5,2,2,0
Access,United States,TELENETWORK PARTNERS LTD,NORTH AMERICA,2025-04-29,2,3,1,1,0
Technical Infrastructure,United Kingdom,CTORI CONSTRUCTION CONSULTANTS LIMITED,EMEA,2025-04-29,4,6,0,0,0
REWS,India,SODEXO,APAC,2025-04-23,1,1,0,0,0
Technical Infrastructure,Indonesia,G4S PLC,APAC,2025-04-21,5,4,2,2,0
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
Technical Infrastructure,Finland,GXO LOGISTICS WORLDWIDE LLC,EMEA,2025-04-22,5,2,3,2,1
YouTube,Portugal,GENPACT LIMITED,EMEA,2025-04-30,5,2,3,2,1
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,2,2,0,0,0
Waymo,United States,UBER TECHNOLOGIES INC,NORTH AMERICA,2025-04-24,3,2,1,0,1
YouTube,India,CONCENTRIX,APAC,2025-04-24,5,5,2,0,2
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-22,3,5,0,0,0
REWS,null,CONVERGINT TECHNOLOGIES GROUP L.P.,LATAM,2025-04-29,3,5,0,0,0
Cloud,Poland,EPAM SYSTEMS INC,EMEA,2025-04-24,2,1,1,0,1
T&S,Portugal,ACCENTURE PLC,EMEA,2025-04-30,10,2,8,2,6
YouTube,Poland,GENPACT LIMITED,EMEA,2025-04-22,10,2,8,1,7
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,5,0,0,0
Technical Infrastructure,United States,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-24,1,1,0,0,0
gCS,India,ACCENTURE PLC,APAC,2025-04-22,9,1,8,7,1
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-04-21,3,5,0,0,0
gTech,India,GENPACT LIMITED,APAC,2025-04-24,2,1,1,1,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-29,4,6,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-25,11,4,9,5,4
Corp Eng,United States,ASTREYA PARTNERS INC,NORTH AMERICA,2025-04-28,4,2,2,2,0
REWS,United States,SUREFOX CONSULTING LLC,NORTH AMERICA,2025-04-29,2,3,1,0,1
REWS,United States,LUX BUS AMERICA CO,NORTH AMERICA,2025-04-28,3,5,0,0,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-25,3,2,1,1,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-25,4,4,0,0,0
Waymo,United States,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2025-04-23,5,5,2,0,2
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,5,0,0,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-28,1,3,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-28,2,4,0,0,0
Technical Infrastructure,null,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,2025-04-24,3,3,0,0,0
Technical Infrastructure,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-04-24,3,5,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-29,5,2,3,0,3
Geo,India,WIPRO LIMITED,APAC,2025-04-23,2,2,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,3,1,2,0,2
Devices & Services,India,TATA GROUP,APAC,2025-04-24,4,3,3,2,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,6,1,5,0,5
Technical Infrastructure,null,SCHENKER,NORTH AMERICA,2025-04-21,3,5,0,0,0
HUE,United States,SCALENCE LLC,NORTH AMERICA,2025-04-21,3,5,0,0,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-24,3,1,2,1,1
REWS,Taiwan,"LIANG PIN DINING CO., LTD.",APAC,2025-05-02,3,3,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,3,4,1,3
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-25,3,2,1,0,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-24,3,2,2,0,2
REWS,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,7,1,6,0,6
YouTube,Malaysia,CONCENTRIX,APAC,2025-04-24,11,2,9,0,9
gTech,United States,ADECCO GROUP AG,NORTH AMERICA,2025-04-21,5,7,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,0,2
Finance,Philippines,ACCENTURE PLC,APAC,2025-04-21,2,1,1,1,0
Technical Infrastructure,United States,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,2025-04-24,3,3,0,0,0
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-23,2,2,0,0,0
Ads & Commerce,United States,"SLALOM, LLC",NORTH AMERICA,2025-05-01,9,5,6,4,2
Technical Infrastructure,Singapore,LINESIGHT PTE LIMITED,APAC,2025-04-24,3,2,1,0,1
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,2,0
Health,United States,"MEDAMERICA CONSULTING EMPLOYEES, INC.",NORTH AMERICA,2025-04-30,7,3,4,3,1
Global Affairs (w/o T&S),Spain,HERBERT SMITH FREEHILLS LLP,EMEA,2025-04-22,8,5,5,2,3
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,5,3,2,1
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-22,5,1,4,0,4
Technical Infrastructure,United States,"APEX INFRASTRUCTURE CONSULTANTS, LLC",NORTH AMERICA,2025-04-28,12,5,9,9,0
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-05-01,3,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,2,2,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-28,2,4,0,0,0
Access,United States,TELICS,NORTH AMERICA,2025-04-30,2,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
Devices & Services,India,QUEST GLOBAL SERVICES PTE. LTD.,APAC,2025-04-25,3,3,0,0,0
Devices & Services,India,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,2025-04-21,3,1,2,0,2
gTech,Portugal,TELEPERFORMANCE SE,EMEA,2025-04-21,6,5,3,1,2
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-25,9,2,7,6,1
gTech,United Kingdom,SDL PLC,EMEA,2025-05-01,5,6,1,0,1
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-25,6,1,5,4,1
T&S,India,ACCENTURE PLC,APAC,2025-04-28,3,1,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-24,2,2,0,0,0
REWS,Taiwan,"LIANG PIN DINING CO., LTD.",APAC,2025-05-02,3,3,0,0,0
REWS,United States,COMPASS GROUP PLC,NORTH AMERICA,2025-04-22,1,1,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-27,5,2,4,4,0
Cloud,El Salvador,TELUS,LATAM,2025-04-23,4,1,3,1,2
gTech,India,GENPACT LIMITED,APAC,2025-04-21,3,5,0,0,0
T&S,Ireland,ACCENTURE PLC,EMEA,2025-04-23,4,5,1,0,1
Global Affairs (w/o T&S),United States,AXIOM GLOBAL INC,NORTH AMERICA,2025-04-25,6,4,4,0,4
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,5,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-25,4,2,2,2,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
T&S,Costa Rica,TELEPERFORMANCE SE,LATAM,2025-04-30,5,5,2,1,1
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-22,5,1,4,1,3
gTech,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-24,8,4,4,1,3
Cloud,United States,UBER TECHNOLOGIES INC,NORTH AMERICA,2025-04-22,6,3,3,0,3
Waymo,United States,MAGNA INTERNATIONAL INC.,NORTH AMERICA,2025-04-23,2,2,0,0,0
Cloud,Mexico,TATA GROUP,LATAM,2025-04-28,22,8,16,15,1
Cloud,Colombia,GLOBANT LLC,LATAM,2025-04-25,8,3,5,4,1
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
Devices & Services,United States,ARCHLYNK LLC,NORTH AMERICA,2025-04-23,19,4,17,0,17
YouTube,India,CONCENTRIX,APAC,2025-04-25,5,4,3,0,3
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-27,8,2,6,0,6
Corp Eng,India,ASTREYA PARTNERS INC,APAC,2025-05-02,7,1,6,6,0
REWS,null,SYNERGY GLOBAL HOUSING LLC,NORTH AMERICA,2025-04-24,3,3,0,0,0
gCS,Philippines,CONCENTRIX,APAC,2025-04-30,2,2,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,8,2,6,0,6
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-23,2,2,0,0,0
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,1,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-24,7,1,6,3,3
REWS,United States,ACCENTURE PLC,NORTH AMERICA,2025-04-30,4,5,1,1,0
YouTube,Poland,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-22,14,2,12,12,0
REWS,India,G4S PLC,APAC,2025-04-29,3,5,0,0,0
REWS,null,CBRE GROUP INC,NORTH AMERICA,2025-04-21,3,5,0,0,0
REWS,null,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-22,1,1,1,0,1
Marketing,Utd.Arab Emir.,DIGITAL FUTURE MIDDLE EAST FZ-LLC,EMEA,2025-04-29,4,2,2,1,1
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,2,4,0,0,0
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-28,4,1,3,0,3
REWS,India,SODEXO,APAC,2025-04-24,3,3,0,0,0
Technical Infrastructure,United States,FORTIS CONSTRUCTION INC,NORTH AMERICA,2025-04-29,11,3,8,7,1
Technical Infrastructure,India,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,APAC,2025-04-22,3,5,0,0,0
REWS,Poland,COMPASS GROUP PLC,EMEA,2025-04-29,1,1,0,0,0
REWS,Philippines,JONES LANG LASALLE INC,APAC,2025-04-24,2,2,0,0,0
Other Bets,United States,SCALENCE LLC,NORTH AMERICA,2025-04-24,4,4,2,1,1
Cloud,India,INFOSYS,APAC,2025-04-22,6,3,3,3,0
T&S,India,ACCENTURE PLC,APAC,2025-04-25,2,1,1,0,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-02,8,2,6,0,6
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,4,4,0,4
T&S,India,WIPRO LIMITED,APAC,2025-04-27,3,2,1,0,1
Technical Infrastructure,Denmark,QVISTGAARD IS,EMEA,2025-05-01,3,4,0,0,0
Access,India,VIRTUSA CORPORATION,APAC,2025-04-24,1,1,0,0,0
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-05-02,10,5,7,7,0
Devices & Services,United States,MOSAIC US HOLDINGS INC,NORTH AMERICA,2025-04-29,4,2,2,1,1
gTech,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-22,1,1,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,1,2
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-04-21,6,10,0,0,0
Ads & Commerce,India,"APPLAUSE APP QUALITY, INC",APAC,2025-04-28,5,8,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,2,3
HUE,Poland,EPAM SYSTEMS INC,EMEA,2025-04-21,4,3,1,0,1
YouTube,India,CONCENTRIX,APAC,2025-04-24,5,1,4,0,4
Access,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,3,3,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,3,3,0,0,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-21,1,3,0,0,0
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-04-21,3,2,1,1,0
Cloud,United States,GLOBANT LLC,NORTH AMERICA,2025-04-30,3,4,1,1,0
gCS,India,REGALIX INC,APAC,2025-04-24,3,3,0,0,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-24,3,1,2,2,0
Devices & Services,India,WIPRO LIMITED,APAC,2025-04-27,8,null,8,0,8
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-22,5,2,3,2,1
GBO (w/o gTech & gCS),United States,MOSAIC US HOLDINGS INC,NORTH AMERICA,2025-05-01,6,2,4,4,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,2,2,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-21,5,3,2,2,0
T&S,United States,"MCAFEE, INC.",NORTH AMERICA,2025-05-02,7,2,5,0,5
Platforms + Ecosystems,United States,MAGIC LEAP INC.,NORTH AMERICA,2025-04-25,7,1,6,0,6
Cloud,Romania,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-29,5,1,4,1,3
Technical Infrastructure,Israel,ASTREYA PARTNERS INC,EMEA,2025-04-23,9,1,8,1,7
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,2,3,1,2
REWS,United States,ISS A/S,NORTH AMERICA,2025-04-21,6,3,5,0,5
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,7,2,5,4,1
gTech,null,QUALITEST,EMEA,2025-05-02,3,3,0,0,0
gCS,India,REGALIX INC,APAC,2025-04-23,2,1,1,1,0
REWS,India,MEDIFIT CONSULTANTS PVT LTD,APAC,2025-04-28,3,5,0,0,0
