product_area,st_created_date,work_order_accepted_date,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,location_region,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,has_equipment,worker_active_flag,onboard_date_v2,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
gTech,2025-04-29,2025-04-29,India,Access Only,2025-05-02,2025-05-01,2025-05-04,VIRTUSA CORPORATION,APAC,null,null,2025-05-02,2025-05-18,2025-05-04,2025-05-04,FALSE,null,Vendor,1,2025-05-04,2025-05-02,null,NO,null,null,Yes,2025-05-04,5,4,1,5,5,3,null,null,3,4,3,3,1,1,0
Waymo,2025-04-22,2025-04-22,United States,Access Only,2025-04-25,2025-04-01,2025-05-01,TRANSDEV,NORTH AMERICA,null,null,null,2025-05-15,2025-05-01,2025-04-24,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,9,7,4,9,9,3,null,null,null,7,3,null,4,0,4
Marketing,2025-04-18,2025-04-22,United States,Equipment and Access,2025-04-29,2025-04-01,2025-04-30,"MAGNIT, LLC",NORTH AMERICA,null,null,2025-04-27,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Temp,1,2025-04-30,2025-04-27,null,NO,null,null,Yes,2025-04-30,12,6,1,12,12,11,1,3,9,6,5,6,1,1,0
YouTube,2025-04-21,2025-04-21,Philippines,Equipment and Access,2025-04-22,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,2025-04-24,2025-04-22,2025-05-06,2025-04-22,2025-04-22,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-22,null,NO,null,null,Yes,2025-04-28,7,5,4,7,7,1,1,6,1,5,1,1,4,0,4
Waymo,2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-24,2025-04-01,2025-04-28,UBER TECHNOLOGIES INC,NORTH AMERICA,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,11,7,2,11,11,7,1,5,6,7,5,4,2,2,0
gCS,2025-04-09,2025-04-09,India,Equipment and Access,2025-04-14,2025-04-01,2025-04-30,ACCENTURE PLC,APAC,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,NO,Yes,2025-04-30,21,15,12,21,21,5,1,1,20,15,3,14,12,12,0
REWS,2025-04-24,2025-04-24,India,Badge Only,2025-04-29,2025-04-01,null,G4S PLC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Waymo,2025-04-22,2025-04-22,India,Access Only,2025-04-23,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,2025-04-27,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-27,null,NO,null,null,Yes,2025-04-30,8,6,5,8,8,1,1,3,5,6,1,4,5,5,0
Waymo,2025-04-24,2025-04-24,United States,Access Only,2025-04-29,2025-04-01,2025-05-01,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2021-10-14,2021-10-15,2025-04-28,2025-05-15,2025-05-01,2025-05-01,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-28,null,NO,null,null,Yes,2025-05-01,7,5,2,7,7,5,1,3,4,5,3,2,2,2,0
Technical Infrastructure,2025-04-22,2025-04-22,Netherlands,Access Only,2025-04-25,2025-04-01,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,6,1,5,3,1,2,1,1
gTech,2025-04-28,2025-04-28,India,Equipment and Access,2025-05-01,2025-05-01,2025-05-01,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-15,2025-05-01,2025-05-01,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-30,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
Technical Infrastructure,2025-04-24,2025-04-24,United States,Badge Only,2025-04-29,2025-04-01,null,TW CONSTRUCTORS LLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Marketing,2025-04-23,2025-04-23,Indonesia,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,MASH BRANDS PTY LTD,APAC,null,null,2025-04-24,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-30,2025-04-24,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,2,4,1,5,2,1,3,0,3
REWS,2025-04-23,2025-04-23,United States,Badge Only,2025-04-28,2025-04-01,null,ELECTROSONIC LIMITED,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gTech,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gTech,2025-04-14,2025-04-14,India,Access Only,2025-04-16,2025-04-01,2025-04-28,TELEPERFORMANCE SE,APAC,null,null,2025-04-16,2025-05-08,2025-04-24,2025-04-24,FALSE,null,Vendor,1,2025-04-28,2025-04-16,null,NO,null,YES,Yes,2025-04-28,14,10,8,14,14,2,null,null,2,10,2,2,8,6,2
Ads & Commerce,2025-04-29,2025-04-29,United States,Access Only,2025-05-02,2025-05-01,2025-05-02,"ANSWERLAB, LLC",NORTH AMERICA,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
Technical Infrastructure,2025-04-11,2025-04-11,United States,Equipment and Access,2025-04-15,2025-04-01,2025-04-28,"CBM OF AMERICA, INC. (VENDOR)",NORTH AMERICA,null,null,2025-04-25,2025-05-13,2025-04-29,2025-04-16,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-25,null,NO,null,NO,Yes,2025-04-28,17,11,9,17,17,4,-1,4,14,11,2,10,9,1,8
Technical Infrastructure,2025-04-28,2025-04-28,India,Badge Only,2025-04-30,2025-04-01,null,INDIGO TELECOM GROUP LTD,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,null,2,2,null,0,0,0
Cloud,2025-04-28,2025-04-28,United States,Access Only,2025-05-01,2025-05-01,2025-05-02,GLOBALLOGIC INC,NORTH AMERICA,null,null,2025-05-01,2025-05-15,2025-05-01,2025-05-01,FALSE,2025-05-01,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,4,4,1,4,4,3,1,0,3,4,3,3,1,0,1
Waymo,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-29,WIPRO LIMITED,APAC,null,null,null,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,6,4,2,6,6,2,-1,null,null,4,2,null,2,2,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-25,null,NO,null,null,Yes,2025-04-30,8,6,3,8,8,3,1,5,3,6,3,3,3,0,3
Platforms + Ecosystems,2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-21,2025-04-01,2025-04-29,MAGIC LEAP INC.,NORTH AMERICA,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-21,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,12,8,6,12,12,4,1,1,11,8,2,7,6,0,6
REWS,2025-04-28,2025-04-28,Canada,Badge Only,2025-04-30,2025-04-01,null,COMPASS GROUP PLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,null,2,2,null,0,0,0
Technical Infrastructure,2025-04-11,2025-04-11,United States,Equipment and Access,2025-04-15,2025-04-01,2025-05-01,M A MORTENSON COMPANY,NORTH AMERICA,null,null,2025-05-01,2025-05-15,2025-05-01,2025-04-16,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-05-01,null,NO,null,NO,Yes,2025-05-01,20,14,12,20,20,4,1,0,20,14,2,14,12,1,11
T&S,2025-04-25,2025-04-25,India,Access Only,2025-04-28,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,2025-04-29,2025-05-13,2025-04-29,2025-04-27,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,5,3,2,5,5,3,1,1,4,3,1,2,2,0,2
Technical Infrastructure,2025-04-21,2025-04-21,United States,Access Only,2025-04-23,2025-04-01,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,null,null,2025-04-22,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-22,null,NO,null,null,Yes,2025-04-29,8,6,4,8,8,2,1,7,1,6,2,1,4,3,1
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-28,2025-04-01,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-28,null,NO,null,null,Yes,2025-05-01,9,7,3,9,9,6,1,3,6,7,4,4,3,2,1
Corp Eng,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-29,VIRTUSA CORPORATION,APAC,2022-05-31,2022-06-04,2025-04-28,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,4,-1,2,4,3,2,2,1,1,0
Waymo,2025-04-24,2025-04-24,United States,Access Only,2025-04-28,2025-04-01,2025-04-28,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,null,null,2025-04-24,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,4,1,2,2,1,0,0,0
Marketing,2025-04-10,2025-04-10,Colombia,Equipment and Access,2025-04-14,2025-04-01,2025-04-29,HUGE LLC,LATAM,2024-03-26,2024-04-01,2025-04-28,2025-05-13,2025-04-29,2025-04-16,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,NO,Yes,2025-04-29,19,13,11,19,19,4,1,1,18,13,2,12,11,2,9
Technical Infrastructure,2025-04-21,2025-04-21,United States,Access Only,2025-04-24,2025-04-01,2025-04-29,SCHENKER,NORTH AMERICA,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,8,6,3,8,8,3,1,6,2,6,3,2,3,2,1
gTech,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,EMEA,null,null,null,null,null,2025-05-02,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gTech,2025-04-21,2025-04-21,Mexico,Access Only,2025-04-24,2025-04-01,2025-04-29,QUALITEST,LATAM,null,null,2025-04-27,2025-05-13,2025-04-29,2025-04-24,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-27,null,NO,null,null,Yes,2025-04-29,8,6,3,8,8,3,1,2,6,6,3,5,3,0,3
REWS,2025-04-28,2025-04-28,United States,Badge Only,2025-04-30,2025-04-01,null,COMPASS GROUP PLC,NORTH AMERICA,null,null,2025-04-30,null,null,null,FALSE,null,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,2,2,2,2,0,0,0
Geo,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,-1,1,4,2,2,2,0,0,0
Geo,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-15,2025-05-01,2025-05-01,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,0,8,6,3,6,3,2,1
Technical Infrastructure,2025-04-23,2025-04-23,United Kingdom,Equipment and Access,2025-04-29,2025-04-01,2025-04-29,CTORI CONSTRUCTION CONSULTANTS LIMITED,EMEA,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,6,1,1,5,4,4,3,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-29,2025-04-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,null,null,null,1,1,null,0,0,0
Access,2025-04-16,2025-04-16,United States,Equipment and Access,2025-04-22,2025-04-01,2025-04-30,DYCOM INDUSTRIES,NORTH AMERICA,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-22,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,14,10,6,14,14,6,1,1,13,10,4,9,6,0,6
T&S,2025-04-15,2025-04-15,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-04-30,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-18,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,15,11,8,15,15,3,1,2,13,11,3,9,8,0,8
REWS,2025-04-28,2025-04-28,India,Badge Only,2025-05-01,2025-05-01,null,COMPASS GROUP PLC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-24,2025-04-24,Finland,Badge Only,2025-04-29,2025-04-01,null,FIBER HIGHWAY FINLAND OY,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-15,2025-04-15,United States,Access Only,2025-04-18,2025-04-01,2025-04-28,SCHENKER,NORTH AMERICA,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,13,9,6,13,13,3,1,3,10,9,3,8,6,5,1
POps,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,8,6,4,8,8,4,1,0,8,6,2,6,4,4,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-24,2025-04-01,2025-05-01,ACCENTURE PLC,NORTH AMERICA,null,null,null,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-05-01,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,9,7,5,9,9,2,1,null,null,7,2,null,5,0,5
Waymo,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,4,1,1,4,3,2,2,1,0,1
Geo,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2021-12-20,2021-12-23,2025-04-24,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,-1,5,1,3,3,1,0,0,0
REWS,2025-04-24,2025-04-24,United States,Access Only,2025-04-29,2025-04-01,2025-05-02,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,null,null,2025-04-25,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-25,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,7,1,6,3,1,3,3,0
Devices & Services,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,MIRAFRA SOFTWARE TECHNOLOGIES PVT. LTD.,APAC,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-27,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,5,1,5,1,4,3,1,1,0,1
Platforms + Ecosystems,2025-04-28,2025-04-28,Philippines,Equipment and Access,2025-04-30,2025-04-01,2025-05-02,NCC GROUP,APAC,null,null,2025-04-29,2025-05-15,2025-05-01,2025-04-30,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-29,null,NO,null,null,Yes,2025-05-02,4,4,2,4,4,2,1,3,1,4,2,1,2,0,2
Technical Infrastructure,2025-04-29,2025-04-29,United States,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-05-01,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
GBO (w/o gTech & gCS),2025-04-28,2025-04-28,Singapore,Access Only,2025-04-30,2025-04-01,2025-04-30,CODIMITE PTE LTD,APAC,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,1,1,2,2,1,0,0,0
Platforms + Ecosystems,2025-04-28,2025-04-28,India,Access Only,2025-04-29,2025-04-01,2025-05-02,MARKETSTAR CORPORATION,APAC,null,null,2025-05-01,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,4,4,3,4,4,1,1,1,3,4,1,3,3,3,0
POps,2025-04-25,2025-04-25,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-27,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-27,null,NO,null,null,Yes,2025-04-28,3,1,1,3,3,3,-1,2,2,1,1,1,0,0,0
GBO (w/o gTech & gCS),2025-04-15,2025-04-23,Canada,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,MAGNIT GLOBAL CANADA LTD.,NORTH AMERICA,2022-09-21,2022-09-28,2025-04-26,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Temp,1,2025-04-28,2025-04-26,null,NO,null,null,Yes,2025-04-28,13,3,1,13,13,13,1,2,11,3,3,9,0,0,0
Cloud,2025-04-28,2025-04-28,India,Access Only,2025-04-30,2025-04-01,2025-05-01,DELOITTE,APAC,null,null,2025-05-01,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-05-02,Vendor,1,2025-05-01,2025-05-01,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,2,-1,1,3,3,2,3,1,0,1
Global Affairs (w/o T&S),2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-22,2025-04-01,2025-04-28,"CONSILIO, INC",NORTH AMERICA,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-25,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,11,7,4,11,11,5,3,0,8,7,3,6,4,3,1
REWS,2025-04-25,2025-04-25,United States,Badge Only,2025-04-28,2025-04-01,null,JONES LANG LASALLE INC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,3,1,1,3,3,3,null,null,null,1,1,null,0,0,0
REWS,2025-04-24,2025-04-24,United States,Access Only,2025-04-30,2025-04-01,2025-04-30,PROPARK AMERICA WEST LLC,NORTH AMERICA,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,6,4,1,6,6,6,1,1,5,4,4,3,0,0,0
POps,2025-04-29,2025-04-29,null,Access Only,2025-05-02,2025-05-01,null,WIPRO LIMITED,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,TRANSFER-Starters list,NO,null,null,null,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
REWS,2025-04-25,2025-04-25,United States,Badge Only,2025-04-28,2025-04-01,null,JONES LANG LASALLE INC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,3,1,1,3,3,3,null,null,null,1,1,null,0,0,0
gTech,2025-04-21,2025-04-21,India,Access Only,2025-04-24,2025-04-01,2025-04-29,TELEPERFORMANCE SE,APAC,null,null,2025-04-24,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,8,6,3,8,8,3,-1,6,3,6,3,3,3,3,0
Global Affairs (w/o T&S),2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-04,ACCENTURE PLC,APAC,2021-05-04,2021-05-07,2025-05-02,2025-05-17,2025-05-03,2025-05-02,FALSE,null,Vendor,1,2025-05-04,2025-05-02,null,NO,null,null,Yes,2025-05-04,5,4,1,5,5,3,null,null,3,4,3,3,1,0,1
T&S,2025-04-15,2025-04-15,Philippines,Equipment and Access,2025-04-16,2025-04-01,2025-04-28,ACCENTURE PLC,APAC,null,null,2025-04-27,2025-05-08,2025-04-24,2025-04-16,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-27,null,NO,null,NO,Yes,2025-04-28,13,9,8,13,13,1,1,1,12,9,1,9,8,0,8
Platforms + Ecosystems,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,3,1,2,2,1,0,0,0
REWS,2025-04-24,2025-04-24,United States,Access Only,2025-04-29,2025-04-01,2025-04-30,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-05-01,Vendor,1,2025-04-30,2025-04-24,null,NO,null,null,Yes,2025-04-30,6,4,1,6,6,5,-1,7,1,4,3,1,1,0,1
Technical Infrastructure,2025-04-22,2025-04-22,Netherlands,Access Only,2025-04-23,2025-04-01,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,null,null,2025-04-23,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,7,5,4,7,7,1,1,6,1,5,1,1,4,2,2
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,null,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,9,7,4,9,9,3,1,null,null,7,3,null,4,3,1
gTech,2025-04-23,2025-04-23,India,Access Only,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,APAC,null,null,null,2023-05-24,2023-05-10,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Waymo,2025-04-28,2025-04-28,India,Equipment and Access,2025-04-30,2025-04-01,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,1,1,2,2,1,0,0,0
Technical Infrastructure,2025-04-27,2025-04-27,Denmark,Badge Only,2025-05-01,2025-05-01,null,QVISTGAARD IS,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,YES,Yes,2025-05-01,4,3,1,4,4,4,null,null,null,3,3,null,0,0,0
gTech,2025-04-22,2025-04-22,India,Access Only,2025-04-25,2025-04-01,2025-04-28,VIRTUSA CORPORATION,APAC,null,null,2025-04-22,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-22,null,NO,null,null,Yes,2025-04-28,6,4,1,6,6,3,1,6,1,4,3,1,1,1,0
YouTube,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-04-25,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-25,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,7,1,6,3,1,3,3,0
